Time,W,A,C,S,Temperature
0.000000,0.001700,0.000600,2.450000,0.001500,28.962500
0.010000,0.001702,0.000600,2.448934,0.001486,28.966233
0.020000,0.001703,0.000601,2.447870,0.001472,28.969967
0.030000,0.001705,0.000601,2.446806,0.001459,28.973700
0.040000,0.001707,0.000601,2.445744,0.001445,28.977433
0.050000,0.001709,0.000602,2.444684,0.001432,28.981165
0.060000,0.001710,0.000602,2.443624,0.001419,28.984898
0.070000,0.001712,0.000602,2.442566,0.001406,28.988630
0.080000,0.001714,0.000602,2.441509,0.001393,28.992361
0.090000,0.001715,0.000603,2.440453,0.001380,28.996092
0.100000,0.001717,0.000603,2.439398,0.001367,28.999822
0.110000,0.001719,0.000603,2.438345,0.001355,29.003551
0.120000,0.001720,0.000604,2.437293,0.001342,29.007280
0.130000,0.001722,0.000604,2.436242,0.001330,29.011008
0.140000,0.001724,0.000604,2.435192,0.001318,29.014734
0.150000,0.001726,0.000605,2.434143,0.001305,29.018460
0.160000,0.001727,0.000605,2.433096,0.001293,29.022185
0.170000,0.001729,0.000605,2.432050,0.001281,29.025909
0.180000,0.001731,0.000605,2.431005,0.001270,29.029631
0.190000,0.001733,0.000606,2.429962,0.001258,29.033352
0.200000,0.001734,0.000606,2.428919,0.001246,29.037072
0.210000,0.001736,0.000606,2.427878,0.001235,29.040790
0.220000,0.001738,0.000607,2.426838,0.001223,29.044507
0.230000,0.001740,0.000607,2.425799,0.001212,29.048222
0.240000,0.001741,0.000607,2.424761,0.001201,29.051936
0.250000,0.001743,0.000608,2.423725,0.001190,29.055648
0.260000,0.001745,0.000608,2.422690,0.001179,29.059358
0.270000,0.001746,0.000608,2.421656,0.001168,29.063066
0.280000,0.001748,0.000608,2.420623,0.001157,29.066772
0.290000,0.001750,0.000609,2.419591,0.001147,29.070477
0.300000,0.001752,0.000609,2.418561,0.001136,29.074179
0.310000,0.001753,0.000609,2.417532,0.001126,29.077879
0.320000,0.001755,0.000610,2.416503,0.001115,29.081577
0.330000,0.001757,0.000610,2.415477,0.001105,29.085272
0.340000,0.001759,0.000610,2.414451,0.001095,29.088965
0.350000,0.001760,0.000611,2.413426,0.001085,29.092656
0.360000,0.001762,0.000611,2.412403,0.001075,29.096345
0.370000,0.001764,0.000611,2.411381,0.001065,29.100030
0.380000,0.001766,0.000612,2.410360,0.001055,29.103713
0.390000,0.001768,0.000612,2.409340,0.001045,29.107394
0.400000,0.001769,0.000612,2.408321,0.001036,29.111071
0.410000,0.001771,0.000612,2.407304,0.001026,29.114746
0.420000,0.001773,0.000613,2.406287,0.001017,29.118418
0.430000,0.001775,0.000613,2.405272,0.001007,29.122087
0.440000,0.001776,0.000613,2.404258,0.000998,29.125752
0.450000,0.001778,0.000614,2.403245,0.000989,29.129415
0.460000,0.001780,0.000614,2.402234,0.000980,29.133074
0.470000,0.001782,0.000614,2.401223,0.000971,29.136731
0.480000,0.001783,0.000615,2.400214,0.000962,29.140383
0.490000,0.001785,0.000615,2.399205,0.000953,29.144033
